cust_name,id,review_date,review_title,review_description,range_used,review_score
Jean Luc,210,2022-06-10,malette idéal pour la musculation,"cette malette d'altère au total de 20kg
C'est idéal pour travailler les muscles",Utilise ce produit depuis Plus de 2 ans,5
Ludovic,211,2022-01-10,Très bon kit,Très bon kit complet avec valise de rangement très pratique,Utilise ce produit depuis 1 semaine ou moins,5
Fabien,212,2022-09-29,tres bonne petite mallette…,tres bonne petite mallette de travail pour débuter,Utilise ce produit depuis 7 à 12 mois,4
Jessy,213,2022-09-28,Bon produit excellent qualité,Bon produit excellent qualité,Utilise ce produit depuis 1 semaine ou moins,5
Mylene,214,2022-09-25,Bon rapport qualité,Bon rapport qualité,Utilise ce produit depuis 1 semaine ou moins,5
Frederic,215,2022-09-25,Très bon achat. Complet…,Très bon achat. Complet facile à monter et solide,Utilise ce produit depuis 1 semaine ou moins,5
Céline,216,2022-09-24,Très bien et très…,Très bien et très pratique. Usage régulier,Utilise ce produit depuis 2 à 8 semaines,5
Francois-Xavier,217,2022-09-24,Pas mal mais les…,Pas mal mais les cales se devissent lors des exercices et les poids bougent ensuite,Utilise ce produit depuis 3 à 6 mois,5
Celine,218,2022-09-23,Mon neveu est satisfait,Mon neveu est satisfait,Utilise ce produit depuis 7 à 12 mois,5
Julie,219,2022-09-23,Parfait,Parfait,Utilise ce produit depuis 1 semaine ou moins,5
Sebastien,220,2022-09-23,Bien conçue et une…,"Bien conçue et une mallette de rangement, et poids utilisable sur d'autre barre si on utilise des clips",Utilise ce produit depuis 1 semaine ou moins,5
IGNACE,221,2022-09-22,La malette est bien…,"La malette est bien pratique, le problème c'est que ça se dévisse pendant la pratique.",Utilise ce produit depuis 2 à 8 semaines,3
Virginie,222,2022-09-21,Fonctionnel,Fonctionnel,Utilise ce produit depuis 2 à 8 semaines,5
Thibaut,223,2022-09-21,Super,Super produit rapport qualité prix top,Utilise ce produit depuis 2 à 8 semaines,5
Veronique,224,2022-09-20,super produit,produit très complet,Utilise ce produit depuis 2 à 8 semaines,5
Nadege,225,2022-09-20,Bien,Bien,Utilise ce produit depuis 1 semaine ou moins,5
Bertrand,226,2022-09-20,"Bon produit, pour un…","Bon produit, pour un prix très concurrentiel.",Utilise ce produit depuis 2 à 8 semaines,5
Jacky,227,2022-09-17,dommage qu'il n'y ai…,dommage qu'il n'y ai pas une clée pour le serrage sinon Tb qt m/m,Utilise ce produit depuis 7 à 12 mois,5
Patrick,228,2022-09-17,très bon kit pour…,très bon kit pour débuté,Utilise ce produit depuis 1 semaine ou moins,4
frederic,229,2022-09-17,Excellent haltère,Excellent haltère,Utilise ce produit depuis 1 semaine ou moins,5
Christophe,230,2022-09-16,parfait pour débutants,parfait pour débutants,Utilise ce produit depuis 7 à 12 mois,4
Odile,231,2022-09-16,Très bon kit,Très bon kit,Utilise ce produit depuis 2 à 8 semaines,5
Fabrice,232,2022-09-16,comment perdre de l'embonpoint...,"Acheté pour réduire les volumes incongrus !
associé avec Décat'Coach - les effets sont immédiats !",Utilise ce produit depuis 1 semaine ou moins,4
